text,source,category,class
রাতের ভোটের অটো এম পি ভোট চোর,bangla_comment_dataset,Safe,Safe
ভালোবাসা অবিরাম ম্যাশ ভাই এবং মমিনুল ভাই,bangla_comment_dataset,Safe,Safe
হেরে যাওয়া সকালগুলো মুক্তি খুঁজে ক্লান্তির ঘুমে।,BanglaSAPM,Unsafe,Suicidal
মিস ইউ ,bangla_comment_dataset,Safe,Safe
"জীবন পানির মত
সরল। হাসলাম একটু।",BanglaSAPM,Unsafe,Suicidal
অগ্রীম শুভ জন্মদিন ভাইজান ❤,bangla_comment_dataset,Safe,Safe
"এত বড় দুধ হতেই পারে না, নিশ্চয়ই কারো হাত আছে ",bengali_hate,Unsafe,Adult
ধন্যবাদহিরো আলম,bangla_comment_dataset,Safe,Safe
আছি আপু থাকবো ইনশাল্লাহ ,bangla_comment_dataset,Safe,Safe
"Sometimes it's just me, my earphone and Rupam Islam's songs against the world >>",Instagram,Safe,Safe
ওই তোমার দেহি নুনু দরবার চায়.,toxic_comments,Unsafe,Adult
jkn aka aka Ghumai,Facebook,Unsafe,Adult
মাশরাফির নাম্বার টা বলুন,bangla_comment_dataset,Safe,Safe
জ্বি ভাই আপনাদের সহযোগিতায় গরীব অসহায় মানুষ যাযা খেতে পাচ্ছে তা হলো- ১০ কেজি চাউল ১ প্যাকেট মধুমতী লবণ ও ১ কেজি আলু,bangla_comment_dataset,Safe,Safe
"এ বালের পড়ালেখা করি লাভ নাই,দুনিয়ার সবকিছু মা বাপের চয়েস ইভেন ভার্সিটিও!!!! কিল্লাই আর এক্সাম দিলাম!এত্ত কষ্ট করি তো আর রুয়েট কুয়েট এ এক্সাম দেওয়ার মানে হয় না।",BanglaSAPM,Safe,Safe
সুপার হিট,bangla_comment_dataset,Safe,Safe
আর নয় কিন্তু ওলের বি*চি থাকবে নানে কাকা,Facebook,Unsafe,Harmful
সামনেএগিয়েচলদেয়াকরি,bangla_comment_dataset,Safe,Safe
পাছায় বারি খাওয়ার পর শোওফিকের তামাশা করতে ভাল লাগে!!!,bengali_hate,Unsafe,Harmful
হলে থাকতে অনেক কষ্ট হতো আমার রাতের পর থেকে কেমন জেনো অস্থির লাগা শুরু হতো এটা ভেবে যে বন্দি এখন আমি,BanglaSAPM,Safe,Safe
"ইচ্ছা করতাছে রড গরম কইরা ঠান্ডা মাথা তোর পুটকিতে দেই আর গরম মাথা বাহিরে রাখি , যাতে কেউ না বের করতে পারে",toxic_comments,Unsafe,Adult
"গভীর রাত,স্বামী-স্ত্রী ঘুমাচ্ছে,হঠাৎ স্ত্রী জেগে উঠলো. . . স্ত্রী : এই শোনো, একেবারে মরে যাওয়া ভালো নাকি আস্তে আস্তে মরা ভালো? স্বামী: এত রাতে তুমি এই প্রশ্ন করছো! ঘুমাও তো! স্ত্রী: এই না না, বলো। স্বামী : একেবারে মরে যাওয়া ভালো। স্ত্রী : তাহলে ডান হাতটাও আমার নাকের উপর রাখ।",Facebook,Unsafe,Suicidal
কালপেট,toxic_comments,Unsafe,Harmful
নয়াখাইল্লা মাগি,toxic_comments,Unsafe,Adult
Ramdan Mubarak Sylheti Iftaar Special,Instagram,Safe,Safe
মিথিলার বোন,bangla_comment_dataset,Safe,Safe
শইতান বেেদুইন,toxic_comments,Unsafe,Harmful
39 তোমার  Favourite শব্দ কি,Facebook,Unsafe,Harmful
শখের বাড়ি টা ১ মিনিটেই নদী গিলে ফেলল,Instagram,Safe,Safe
এখন একটু ভাল্লাগে,bangla_comment_dataset,Safe,Safe
"বিরল রোগে আক্রান্ত নুনুভেল।গোপন সূত্রে জানা জায় রোগটির নাম তামাশা।এই রোগে আক্রান্ত হলে,মাথা নষ্ট হিয়ে যায়, রোগী পাগল হয়ে যায়,স্মৃতিভ্রম হয়,মেন্টালি সিক হয়ে জায়,সে কি বলে তা নিজেও জানে না,পরে আবার মাফ চায়,এই ভাবেই দিন কাল চলতে থাকে রোগীটির, তারপর এর এন্টিবায়োটিক হিসেবে তাহসিনেশন নামে একটি ট্যাবলেটের প্রয়োজন পড়ে।এখন নুনুভেল কে অই এন্টিবায়োটিক তথা তাহসিনেশন ডোজ দিচ্ছে।আশা করা যায়, সেটি নুনুভেল এর রোগটি সারাতে সক্ষম হবে~ shakibian10",bangla_comment_dataset,Safe,Safe
ধন্যবাদ হিরো আলম তোমাকে,bangla_comment_dataset,Safe,Safe
দিবস রজনী আমি যেন কারআশায় আশায় থাকি- sundor  ,bangla_comment_dataset,Safe,Safe
বগল এ গন্ধ তর,toxic_comments,Unsafe,Harmful
PRESS CAT news The Talking Bro,Facebook,Unsafe,Adult
ভাই জিবনে যন্ত্রণা কোন শেষ নাই,BanglaSAPM,Safe,Safe
Deshi Football Debate highlights GROUP ADMIN 5WC TROPHY 3WC TROPHY 0WC TROPHY,Facebook,Safe,Safe
"শালা করমচাঁদ 😂😂
ভাবছি ফ্রিল্যান্সিং থেকে অবসর নিবো.... যখন দেখলাম তোর মতো আবাল ও নিজেকে এই পেশায় আছোস বলে দাবি করে, তখন কাজ করার ইন্টারেস্ট ই হারিয়ে যাচ্ছে",toxic_comments,Unsafe,Harmful
এই মাগির ফুন্দে মরিছ দেও এবং কুফিয়ে মারো,bengali_hate,Unsafe,Adult
"অসাধারণ পিকচার, পিকচার দেখে মনচায় হাত খিচার।",bangla_comment_dataset,Safe,Safe
আমার বন্ধুর আসল রূপ,Facebook,Unsafe,Adult
"আগে তুই ক্রাশ ছিলি- তোরে দেইখা দেইখা হাত মারতাম, প্রতিদিন তোর কথা ভাবতে ভাবতে হাত মেরে মাল আউট করতাম, এখন তোর কথা মনে পরলে হাগা আহে।",bangla_comment_dataset,Safe,Safe
নেপালি খাঙ্কির পলা,toxic_comments,Unsafe,Adult
প্রিয় মুখ গুলো একসাথে দেখে খুব ভাল্লাগছেমাশরাফি ভাই আর কতো হাসাবেন♥,bangla_comment_dataset,Safe,Safe
বগুড়ার পুলাটারে সারা দেশ চিনে।,bangla_comment_dataset,Safe,Safe
"চুত্মারানি
মসজিদে নামাজ পরতে গেছিস?
নাকি সেল্ফি চুতাইতে গেছিস?",toxic_comments,Unsafe,Adult
"তোরে ছাত্রলীগে দেখে না? 
তোরে ওরা চুদে দেয় না কেন? 
দেশের এমনত অবস্থায় তুই ফ্রেন্ডশীপ চোদাস হ্লারপো",toxic_comments,Unsafe,Adult
তুমি হাসলে সবাই তোমার সাথে হাসবে কিন্তু তুমি কাঁদলে কেউ তোমারসাথে কাঁদবেনা মানুষকে কাঁদতে হয় একা একা,BanglaSAPM,Unsafe,Suicidal
কমেন্ট দেখতে আসছিলাম,bangla_comment_dataset,Safe,Safe
মিজানুর রহমান আল আজহারী মত এমন আলেম হে আল্লাহ তুমি প্রতিটা ঘরে ঘরে নসিব করো,bangla_comment_dataset,Safe,Safe
ফর্মাল ড্রেসে পেশাধারী -গে হিসেবে নিয়োগ পেতে ইন্টার্ভিউ দিতে এসেছে এই বোনটি। কেউ মোনাজাত না করে যাবেন্না।,toxic_comments,Unsafe,Adult
গাঞ্জাঢুকা,toxic_comments,Unsafe,Harmful
তুমি না আবাল দেখতে চাইছো এই দেখো বাংলাদেশের আবাল সম্রাট রা একপ্লেসে হাজির,toxic_comments,Unsafe,Adult
"Loop of failure খুব জঘন্য একটা ব্যাপার। যার লাইফে এই ব্যাপারটা আসে, খুব বেশি তাকদীরের প্রতি বিশ্বাস না থাকলে সে ভেঙ্গে পড়ে; দুর্বিষহ হয়ে পড়ে। এডমিশন টেস্ট এক্সাম থেকে শুরু করে জব সেক্টর সব জায়গাতেই এই ব্যাপারটা ভয়ানক লেভেলে মানসিক বিপর্যয় ডাকে। আমি ফেইস করসি, আমার বোন ও করতেসে। সবকিছু সহজ করার মালিক আল্লাহ, উনার উপরই শুধু ভরসা রাখছি।",BanglaSAPM,Safe,Safe
আমি আজকে ফেইল করছি,Facebook,Unsafe,Harmful
"বাবা-মায়ের স্যাপারেট,এসএসসি রেজাল্ট খারাপ,বন্ধুদের থেকে দুরে সরে যাওয়া,৩বছরের সম্পর্কের বিচ্ছেদ,সর্বপরি বাড়ি ঘড় ছেড়ে কলেজ হোস্টেলে ওঠা।সব মিলিয়ে এক জটিল কেমিস্ট্রি।",BanglaSAPM,Unsafe,Suicidal
তুমি কল্পনাও করতে পারবে না যে তোমার সাথে কথা বলার জন্য আমি কতটা অপেক্ষা করে থাকি,Instagram,Unsafe,Suicidal
চ্যাট লিস্টের সবার উপরে থাকা নামটা একটা সময় ধীরেধীরে নিচে নামতে থাকে ডাটা অন করলেই যার মেসেজে ভরে যেতো ইনবক্স সময়ের পালাবদলে তার মেসেজ আর আসেনা সব কিছুর যেমন শেষ আছে তেমনি সম্পর্ক গুলোও একটা সময় নিঃশেষ হয়ে যায়,BanglaSAPM,Safe,Safe
"কমেন্ট পড়তে এসেছিলাম, আলহামদুলিল্লাহ কমেন্ট পড়ে অনেক মজা পাইলাম",bangla_comment_dataset,Safe,Safe
ইনশাআল্লাহ চেষ্টা করবো..?,bangla_comment_dataset,Safe,Safe
"বুঝলে প্রিয়..
অপেক্ষা করো,
আর নিজের ওপর বিশ্বাস রাখো..
শেষটা সুন্দর হবেই!
প্রথম প্রথম একটু কষ্ট হলেও
পরে গিয়ে ঠিক বুঝতে পারবে জীবনে যা হয় সব ভালোর জন্যই হয়।।",BanglaSAPM,Unsafe,Suicidal
ভালবাসা ভাই ❤,bangla_comment_dataset,Safe,Safe
দোস্ত তোকে নাকি ছোটবেলায় মেথরে পুটকি মারতো,toxic_comments,Unsafe,Adult
বউয়ের হাতের রান্না খাওয়ার পর আমি পান্তা-ইলিশ,Facebook,Safe,Safe
অবশ্যই একটা বুড়া জামাই ভালো,Facebook,Unsafe,Adult
ইন্না লিল্লাহি ওয়া ইন্না ইলাহী রাজিউন,bangla_comment_dataset,Safe,Safe
তোমার সুখের জন্য যদি তোমাকে ভুলে যেতে হয় তাহলে আমি ভুলে যেতে রাজি ভুলতে হয়তো কোনদিনও পারবো না তবে ভুলে থাকার অভিনয় করতে পারবো,BanglaSAPM,Safe,Safe
পাগলু,toxic_comments,Unsafe,Harmful
"সারা বিশ্বের মানুষ হিরো আলম কে চিনে,,,চিন্তার বিষয়",bangla_comment_dataset,Safe,Safe
"হিরো  আলম নিজের চেষ্টায়,  হিরোকে নিয়ে  আজ আপনারা টকশো করেছে, তবে ছোট করে দেখার কিছু নেই, বরং আপন করে  নেওয়ায় ভালো ছিলো।হিরো আলমের উত্তরটা যথার্থ ছিলো,  ধন্যবাদ হিরো আলম",bangla_comment_dataset,Safe,Safe
অাপনি কি অালোচিত হবার জন্রে নাস্তিক ঘোষণা দিলেন নিজেকে?? সেদিন অার দূর নাই মোল্লারা তসলিমার মতো অাপনাকেঔ দেশ ছাড়া করবে,bangla_comment_dataset,Safe,Safe
"সকালে ঘুম থেকে উঠেই দেখলাম সিলেট পুরো পানির নিচে! সুনামগঞ্জ তো পুরো দেশ থেকে বিচ্ছিন্ন! প্রায় দোতলা বিল্ডিং ও পানির নিচে যাওয়ার সম্ভাবনা আছে! এই অবস্থায় নিউজ খুললাম , খবরে চলতেসে কুরবানীর ঈদে গরুর দাম কেমন হবে! Seriously?! এই দেশের পচন ধরেছে! সবার ব্রেইন পচে ড্রেনে চলে যাইতেসে! 😑",BanglaSAPM,Safe,Safe
বেয়াদব একটা স্তন হাত দিছে,Facebook,Unsafe,Adult
"ডুবে যাওয়া সূর্যের রঙে রাঙিয়ে দিও প্রিয়। গভীর বেদনার প্রেমেও আমাকেই তুমি নিও 🖤
",BanglaSAPM,Safe,Safe
Gurail Pitha,Instagram,Safe,Safe
মাথাা পুরাই নষ্ট মামা,Instagram,Unsafe,Harmful
ওর কি সব কিছুই ঠিক ঠাক পরিপূর্ণ আছে?? আমিও ত না দেখে সেইটা বিশ্বাস করতেছিনা?,bangla_comment_dataset,Safe,Safe
"সকল সিমের Free Mb,কম টাকায় বেশি MB নেওয়ার টিপস জানতে পেইজে দেখুন উপকৃত হলে Page  দিবেন(GP, Banglalink Aritel Robi&Teletalk simer Offer&free net tips-ফ্রি নেট টিপস) See More...",bangla_comment_dataset,Safe,Safe
বর্তমানে টিভিতে খবর দেখার সময় AD আমি বাবা,Facebook,Unsafe,Harmful
দুই হিজলা এক লগে,toxic_comments,Unsafe,Harmful
"কোনো প্রফেশনেই ১০০% খাটি নেই, তাহলে তো সব প্রফেশনকেই কটাক্ষ করা লাগবে!! একটু থামা কি যায়না?",BanglaSAPM,Safe,Safe
মিস ইউ চ্যাম্প 7️⃣5️⃣,bangla_comment_dataset,Safe,Safe
অসাধারন  মেম,bangla_comment_dataset,Safe,Safe
"সীমিত পরিসরে পাপ করে,ব্যাপক হারে শাস্তি পাচ্ছি। ",BanglaSAPM,Safe,Safe
বাংগালীদের আলোচনার নতুন টপিক।,bangla_comment_dataset,Safe,Safe
"আলহামদুলিল্লাহ, আল্লাহ তাআলা আপনাকে আরো সাহায্য করার তৌফিক দান করুন!",bangla_comment_dataset,Safe,Safe
ছ্যাকা খেয়ে বিষ খাইসিলাম..পোস্ট দেখার পর বমি করে দিলাম..এখন আমি পুরোপুরি সুস্থ..ধন্যবাদ আমার জীবন বাচিয়ে দেয়ার জন্য..,bangla_comment_dataset,Safe,Safe
দেই একটু বার্গার দেক,Facebook,Safe,Safe
Maas Bhunna di Biroin,Instagram,Safe,Safe
"হে আল্লাহ, ওনাকে হেদায়েত করুন।",bangla_comment_dataset,Safe,Safe
পুরা কামাসুত্রার নাইকা লাগতাছে।,toxic_comments,Unsafe,Harmful
আল্লাহ আপনাকে নেক হায়াত দান করুক।,bangla_comment_dataset,Safe,Safe
"কোন কোডটা এখনি ক্র্যাস করলে, আমি আর পারিনা",BanglaSAPM,Safe,Safe
কথা সত্য বাদশা,bangla_comment_dataset,Safe,Safe
বদনা ধুকাই দিমু,toxic_comments,Unsafe,Adult
ফালতু একটা পরিচালক জুতা পেটা করা দরকার,bengali_hate,Unsafe,Harmful
 কিন্তু সেদিন বাসায় ফিরেই আমি তার ব্লক লিস্টে যায়গা পাই। ,BanglaSAPM,Safe,Safe
"আমি বড্ড একলা।আমার মন খারাপের কথাটা বলতে পারিনা।এই যে হুটহাট আমার কারণ ছাড়া মন খারাপ হয়,আমি বুঝাইতে পারিনা আমার প্রচন্ড মন খারাপ। কাউকে যদি বলি আমার মনটা খুব খারাপ। তারা আগে আমাকে জিজ্ঞেস করবে কি কারণে খারাপ?অথচ এই কারণটা আমিও জানিনা। তাই কাউকে বলতেও পারিনা। ",BanglaSAPM,Unsafe,Suicidal
"মাদারসোদ সকাল বেলা ঘুম থেইক্ক্যা উঠেই তোর শাউয়া মার্কা পোস্ট দেখলাম, সারাদিন মনে হয় আমার কপালে খারাপিই আছে",toxic_comments,Unsafe,Adult
ধন্যবাদ প্রিয় হুজুর❤❤,bangla_comment_dataset,Safe,Safe
"সূর্যাস্ত আর মেঘেদের রং বদল....
গোধূলি.... কি যে মায়াবী তুমি!🧡",BanglaSAPM,Safe,Safe
কালা,toxic_comments,Unsafe,Harmful
"রতনে রতন চেনে, শুয়রে চেনে কচু",bengali_hate,Unsafe,Harmful
ইস কি সুন্দর,bangla_comment_dataset,Safe,Safe
BROKEN,Instagram,Unsafe,Suicidal
মিজানুর রহমান আল আজহারি বাংলাদেশের জন্য বড় এক নেয়ামত,bangla_comment_dataset,Safe,Safe
খানকির পুত তুর লজ্জা নাই।।।।,toxic_comments,Unsafe,Adult
সাজুএই প্রশ্ন্যটা তোর মাকেও বোনদের করিস তো দিক উত্তর পাবি-কারন একই চলিত ভাষা হবে।,bengali_hate,Unsafe,Adult
সুমাইয়া রিভা এটা কি প্রশংসা চিলো,bangla_comment_dataset,Safe,Safe
নিম্ন মধ্যবিত্ত পরিবারে বেড়ে উঠা প্রত্যেকেরই নিজের স্বপ্ন বিসর্জন দেয়ার অদ্ভুত এক ক্ষমতা থাকে। তাদের কখনো প্রাপ্তি-অপ্রাপ্তির হিসাব করতে নেই।,BanglaSAPM,Safe,Safe
আমাি তো ভাবসিলাম মাইকেল জ্যাকসন নাকি,Facebook,Unsafe,Adult
Places On Earth That Don’t Feel Real Bangladesh Cox's Bazar Rangamat Bandarban And much more 3 2 1 Welcome to Bangladesh,Facebook,Safe,Safe
ঈদের আনন্দে র মতো মুখে র হাসি নাইস।,bangla_comment_dataset,Safe,Safe
আজ খুব ভালো লাগছে। জীবন আসলে খারাপ না। ভালোই,BanglaSAPM,Safe,Safe
আমার সারা সপ্তাহ ঘুরতে যাওয়ার জন্যে অপেক্ষা করার সময় গুলা কি ফিরবে আর?,BanglaSAPM,Safe,Safe
ভদাই এর পলা,toxic_comments,Unsafe,Adult
বিয়ানীবাজার থেকে ধন্যবাদ জানাই হিরো আলম কে,bangla_comment_dataset,Safe,Safe
"সে তো ফিরে আসবে না, লকডাউনে সে বিয়ে করে ফেলছে😎
মানুষ কিভাবে এতো পাগল হয় নিজের ভালো না বুঝে স্রোতে গা ভাসিয়ে দেয়!",BanglaSAPM,Safe,Safe
"পাশের বাসার দুই আন্টি যখন জানতে পারে, আরেক বাসার মেয়ের ডিভোর্স হয়ে গেছে...",Facebook,Safe,Safe
আজগে মা চাচিরা ঘর থেকে বের হয়ে গেছে চাচী অন ফায়ার,Facebook,Safe,Safe
কালা গুদ চদা,toxic_comments,Unsafe,Harmful
উস্তাদ আপনার চোখ তো কথা বলতেছে,bangla_comment_dataset,Safe,Safe
"কমেন্টবক্সে হিন্দুদের প্রতি চরম বিদ্বেষপূর্ণ কিছু মন্তব্য দেখতে পাচ্ছি। একজন মহিলার অপরাধে পুরো একটা ধর্মীয়গোষ্ঠীকে গালাগাল করা চরম অন্যায়। আমাদেরকে সংযত হতে হবে। আমরা আগে মানুষ, তারপর ধর্ম। মনুষ্যত্বের উপর ভিত্তি করে ধর্ম দাঁড়িয়ে আছে; তাই ধর্মের জন্য আমরা মনুষ্যত্ব বিসর্জন দিতে পারি না।",bangla_comment_dataset,Safe,Safe
"ছেলেদের ভ্রণ উঠলে বলে, শালা খুব হ্যান্ডেল মারে আর মেয়েদের ভ্রণ উঠলে বলে ত্বকের সমস্যা ",bengali_hate,Unsafe,Adult
জাহান্নামের আগুনে বসিয়া হাসি ফুলের হাসি🤍,BanglaSAPM,Safe,Safe
মইত্যা নিজামী,toxic_comments,Unsafe,Harmful
ভাই জান আপনি খুব সুন্দর. আপনার কথা গুলি আরো সুন্দর,bangla_comment_dataset,Safe,Safe
"বর্তমান সরকার করোনা মহামারীর দুঃসময়ে বাংলাদেশের সব মানুষের দুঃখ দুর্দশা দূর করার জন্য পাশে থাকলেও কিছু অসাধু আওয়ামীলীগে অনুপ্রবেশকারী হাইব্রিড নেতা ও জনপ্রতিনিধিরা সরকার এবং আওয়ামীলীগের ভাবমূর্তি নষ্ট করার জন্য চাল চুরি করছে ঐ সব চাল চোরদের ব্যপারে কঠিন শাস্তির ব্যবস্থা করুন, প্রযোজনে ক্রসফায়ার করা হউক। ""জয় বাংলা জয় বঙ্গবন্ধু""",bangla_comment_dataset,Safe,Safe
তোর মতো আর নেইতো বেইমান...! আমায় গেলি ভুলে..! মধু পান করে বেরাস..! বসে ফুলে ফুলে..! হোসকায় নিয়ে পোসকি দিলি..! মধু খেয়ে ভুলে গেলি,Facebook,Unsafe,Adult
নুসরাত আপুর ঠোঁট এ কি বিড়ালে কামড়েছে,bengali_hate,Unsafe,Adult
"Jack, where are you from? The US? No, Where are you actually from? Oh, I'm actually from মার্কিন যুক্তরাষ্ট্র জয় বাংলা ",Instagram,Safe,Safe
মাদারটোষ্ট দিলি তো মনটা খ্রাপ করে তুই আর মানুষ হইলিনা,toxic_comments,Unsafe,Adult
আমি কমেন্ট পড়তে আসি,bangla_comment_dataset,Safe,Safe
"হয়তো সময় এসেছে অবহেলা, অবিশ্বাস আর ভালোবাসার প্রহর শেষ হওয়ার।",BanglaSAPM,Unsafe,Suicidal
আমার রাত জাগা তারাতোমার আকাশ ছোয়া বাড়িআমি পাইনা তোমায় ছুতেআমার একলা লাগে ভারী,bangla_comment_dataset,Safe,Safe
"আমার আম্মু, আপু এবং আমার জন্য সকলে দোয়া করবেন। গুরুতর অসুস্থ",BanglaSAPM,Safe,Safe
"একটা মানুষ যখন হঠাৎ করে পরিবর্তন হয়ে যায়। চন্চ্লতা ছেড়ে কোনঠাসা হয়েয় পড়ে আমরা বলি মেয়েটি ভদ্র হয়ে গেছে।কিন্তু তার এই কোনঠাসা হয়ে যাওয়ার আসল কারন টা কেউ খুজে বের করতে যাই না।যখন সে কোন কিছুতে অকারনে রেগে যায়। অদ্ভুত ব্যবহার করে।আমরা এটা খুজতে যাই না সে কেন হঠাৎ কেন রেগে গেল যেখানে রাগার কথা নয়।পড়ালেখায় খারাপ হয়ে গেলে বলে ফোন, খারাপ বন্ধু দের কারনে খারাপ করছে। কিন্তু জানতে চায় না আসল কারন টা কি।সে কথার মাঝে কি বোঝাতে চায়। সে কেন রাতের বেলা মুখ লুকিয়ে কাঁদে।তার কি ব্রেকআপ হয়েছে নাকি অন্যকিছু।আসলেই কি সে খারাপ হতে চেয়েছিল।জানতে চায় না পরিবারের বেখেয়ালির মাঝে তার সাথে কি ঘটে গেছে।পরিবারের একটা লোক হঠাৎ এত পরিবর্তন হয়ে গেল কেউ জানার চেষ্টা করল না আসল কারন কি।শুধু মানসিক প্রেসার দিয়েই গেল আর সুইসাইড শেষে মরাকান্না জুড়ে দিয়ে বলে আমাকে তো অন্তত বলতে পারতি কি হয়েছে।কিন্তু আসলে যে কত বলার চেষ্টা করেছে তা বেঁচে থাকতে একবার৷ লক্ষ্য করার ও প্রয়োজন বোধ করল না।হায় আফসোস।ব্যস্ততা কি তাকে এতটাই ঘিলে ফেলেছিল যে তার পাশের মানুষটা মৃতু্যর দিকে এগিয়ে যাচ্ছে সে তা একবারও দেখতে পেল না।",BanglaSAPM,Unsafe,Suicidal
আল্লাহ জেনো উনাকে জান্নাতুল ফেরদৌস  দান করেন আমিন।,bangla_comment_dataset,Safe,Safe
"রিক্ত, শূন্য নারীকে ভালোবাসার লোকের অভাব নাই। কিন্তু ভেংগে পড়া পুরুষের দিকে কেউ তাকায়ও না।",BanglaSAPM,Unsafe,Suicidal
"দোয়া রইলো আল্লাহ আপনাকে হেদায়েত দান করুন,আর জাতির সামনে কথা বললেএকটু চিন্তা ভাবনা করে বলা উচিৎ",bangla_comment_dataset,Safe,Safe
দোয়া করি আপনারা সুখে এবং  সুস্থ  থাকবেন।,bangla_comment_dataset,Safe,Safe
মানুষ বড়ই অদ্ভুত হয়ে যাচ্ছে দিন দিন,BanglaSAPM,Safe,Safe
মতামত নেয়া হয়নি বা যাদের কাছে জরিপকারীরা যায়নি ৯৮%,bangla_comment_dataset,Safe,Safe
নিজের পছন্দ ফ্যামিলিতে জানানোর পর,Facebook,Unsafe,Adult
কাগজের নৌকা টা না হয় খেলনা কিন্তু তোমার দেখানো স্বপ্নগুলো কি ফেলনা,BanglaSAPM,Safe,Safe
কিউটি,bangla_comment_dataset,Safe,Safe
অসহ্য,bangla_comment_dataset,Safe,Safe
আজ বুঝলাম মানুষ স্বার্থের জন্য কি না করতে পারে  কারো মনে আঘাত করাটা একজন স্বার্থপর মানুষের কাছে খুবই সামান্য একটি ব্যাপার মানুষ চিনতে বড়ই ভুল করলাম জীবনে,BanglaSAPM,Safe,Safe
সেরা,bangla_comment_dataset,Safe,Safe
"আমাদের কিছু চমৎকার দুঃখ থাকে৷ যার এ পাশে সূর্যমুখীর অভিনয়, অপর পাশে মেঘলা আকাশ৷ 
এই মেঘলা আকাশের কার্নিশে একটা আলোক অভেদ্য পর্দা ঝুলানো থাকে, যার নাম মায়া। 
আমরা চাইলেই এই পর্দা তুলে দিতে পারি, আলোর নেমন্তন্ন নিতে পারি, 
এই যে চাইলেই পারি বলতে বলতে এক সময় আর আমরাই আমাদের থাকি না, 
ঘুন ধরে কাঠামে, অবসরে যেতে চাই রক্ত কণিকারা, 
পথে পথে আগাছা হয়ে ওঠে, আমরা ওদের যত্ন নেই, 
ভাবি ভাটি ফুল হবে হয়তো, কিন্তু দেখি না, 
এরা হয়ে ওঠে আলোক লতা, যার বৃহৎ বেদ-বাক্য আছে, 
তবে অনর্থক৷ 🌼",BanglaSAPM,Safe,Safe
বেদনা!,bangla_comment_dataset,Safe,Safe
আচ্ছা ইসলামের জন্য যে সব ছেলে মেয়েরা ওই অভিনেত্রীকে অকথ্য ভাষায় গালি দিচ্ছেন সেগুলো ইসলাম কতটা সমর্থন করে আপনা দয়া করে তাকে প্রয়োজনে আন ফলো জরুন না হলে রিপোর্ট করুন আর দোয়া করুন আল্লাহ তাকে হেদায়েত করুকএভাবে গালি দেয়া ইসলাম হতে পারে না তাই আগে নিজেরা বিশ্বাস করেন সে অনুযায়ী আমল করুনওই মেয়েতো বিশ্বাস করেনা তাই ও সব পারেবাট আপনারা তো বিশ্বাস করেন তাহলেএই রকম আচারন কি বিশ্বাশীদের??,bangla_comment_dataset,Safe,Safe
যে মানুষ অন্যের অনুভূতির মূল্য দিতে জানে না সে কখনো কাউকে ভালোবাসতে পারে না,BanglaSAPM,Safe,Safe
"একটা অদ্ভুত ফেজের মধ্যে দিয়ে চলছি আমরা, 
গোটা একটা জেনারেশন বুকে মেঘ জমিয়ে রেখে “ভালো আছি” বলতে শিখে গেছে, 
স্কুল-কলেজ-অফিস ব্যাগের ভার বহন করতে করতে মনের ভার বহন করা শিখে গেছে, 
নিজের “না পারা” টুকু চার দেওয়ালের মধ্যে দমিয়ে রেখে হাসি মুখে দরজা খোলা শিখে গেছে,,

কেউ কেউ “ কে গেল! কে আসল!” সবকিছু পেছনে ফেলে “কে থাকছে!” টা নিয়ে ঘোড়ার মতো ছুটছে তো কেউ কয়েক বছরের বাসি স্মৃতির ঢেকুর নিয়ে ঘুরছে,, 

কোনো কিছুতে খারাপ লাগলে আর ঝগড়া করে না, এক ঘুষিতে সমস্ত রাগ উগরে দেয় না , কথা না বলে দিনের পর দিন কাজল লেপ্টে একাকার করে দেয় না, আবার ফেরৎ পেলেও আগের মতো জাপ্টে ধরে না,,

বরং মাথা নিচু করে পাশ কাটিয়ে চলে যায়,,

একদল মৃত মানুষ কিভাবে রোজ রোজ বেঁচে থাকার অভিনয় করতে গিয়ে আপোস করা শিখে গেছে !",BanglaSAPM,Unsafe,Suicidal
উন্নয়নের অগ্রযাত্রায় অংশ নিতে নৌকা মার্কায় ভোট দিন... জয় বাংলা জয় বঙ্গবন্ধু,bangla_comment_dataset,Safe,Safe
হাই আপু কেমন আছেন আপনি,bangla_comment_dataset,Safe,Safe
সে কি কখনো বলছে যে সে মুসলিম?,bangla_comment_dataset,Safe,Safe
আল রাফি রাতুল আমিন,bangla_comment_dataset,Safe,Safe
"বিড়াল দুধের উপর বসা দেখে আমার ইচ্ছা, এইবার মরলে শালা বিড়াল হবো ",bengali_hate,Unsafe,Adult
"Cy66oTa, 10 aBryCTa 20:51",Facebook,Safe,Safe
"মাননীয় স্পিকার ,  ভোট চোরদের বড়ো বড়ো কথা শুনতে ভালো লাগে না, কথা থামাতে  এদের মুখে ১ গ্লাস করোনা ঢেলে দেয়ার ব্যবস্থা করা হোক।",bangla_comment_dataset,Safe,Safe
"রানু মন্ডল জানে না উপরের দিকে উঠতে গেলে একটা মই বা সিড়ির দরকার সেইটা ছিলেন অতিন্দ্র দা, এত বড় বেইমান ওর গান শোনা তো দূরের কথা মুখ দেখাও পাপ ",bengali_hate,Safe,Safe
"শোয়েব আখতার,আফ্রিদী আসলে ভালো লাগতো",bangla_comment_dataset,Safe,Safe
